Date,City,State,Country,Temperature,Feels Like,Humidity,Precipitation,Pressure,Wind Speed,Wind Direction,Visibility,Sunrise,Sunset
08-02-25 15:10:09,Atlanta,GA,USA,89.0,,48,,,,,,,
08-02-25 15:10:09,Atlanta,GA,USA,87.0,,55,,,,,,,
08-02-25 15:10:09,Atlanta,GA,USA,85.0,,70,,,,,,,
08-02-25 15:10:09,Atlanta,GA,USA,82.0,,53,,,,,,,
08-02-25 15:10:09,Atlanta,GA,USA,84.0,,48,,,,,,,
08-02-25 15:10:09,Atlanta,GA,USA,84.0,,67,,,,,,,
08-02-25 15:10:09,Atlanta,GA,USA,74.0,,85,,,,,,,
08-02-25 15:10:09,Atlanta,GA,USA,71.0,,53,,,,,,,
08-02-25 15:10:09,Atlanta,GA,USA,83.0,,81,,,,,,,
08-02-25 15:10:09,Atlanta,GA,USA,85.0,,79,,,,,,,
08-02-25 15:10:09,Atlanta,GA,USA,67.0,,61,,,,,,,
08-02-25 15:10:09,Atlanta,GA,USA,73.0,,57,,,,,,,
08-02-25 15:10:09,Atlanta,GA,USA,78.0,,47,,,,,,,
08-02-25 15:10:09,Atlanta,GA,USA,83.0,,55,,,,,,,
08-02-25 15:10:09,Atlanta,GA,USA,87.0,,63,,,,,,,
08-02-25 15:10:09,Atlanta,GA,USA,84.2,,68,,,,,,,
