Current Time,City,State,Country,Temperature,Feels Like,Humidity,Precipitation,Pressure,Wind Speed,Wind Direction,Visibility,Sunrise,Sunset
08-02-25 15:30:15,Nashville,TN,US,77.1,77.8,68,0,1021,9.22,40,10000,5:55 AM,7:50 PM
08-02-25 15:30:15,Nashville,TN,US,77.1,77.8,68,0,1021,9.22,40,10000,5:55 AM,7:50 PM
08-02-25 15:30:13,Knoxville,TN,US,74.6,75.5,79,0,1020,1.01,317,10000,6:44 AM,8:39 PM
08-02-25 15:30:13,Knoxville,TN,US,74.6,75.5,79,0,1020,1.01,317,10000,6:44 AM,8:39 PM
08-02-25 15:30:13,Knoxville,TN,US,74.6,75.5,79,0,1020,1.01,317,10000,6:44 AM,8:39 PM
08-02-25 15:30:13,Knoxville,TN,US,74.6,75.5,79,0,1020,1.01,317,10000,6:44 AM,8:39 PM
08-02-25 15:29:52,Salt Lake City,UT,US,78.7,78.7,33,0,1018,4.61,300,10000,6:32 AM,8:05 PM
08-02-25 15:29:52,Salt Lake City,UT,US,78.7,78.7,33,0,1018,4.61,300,10000,6:32 AM,8:05 PM
08-02-25 15:28:00,Austin,TX,US,88.8,100.7,67,0,1020,4.61,240,10000,6:43 AM,8:02 PM
08-02-25 15:28:00,Austin,TX,US,88.8,100.7,67,0,1020,4.61,240,10000,6:43 AM,8:02 PM
08-02-25 15:26:59,Tokyo,JP,27.8,31.9,83,0,1001,4.63,180,10000,4:52 AM,6:35 PM
08-02-25 15:26:59,Tokyo,JP,27.8,31.9,83,0,1001,4.63,180,10000,4:52 AM,6:35 PM
08-02-25 15:25:58,St Louis,MO,US,74.5,74.2,55,0,1026,8.05,70,10000,5:57 AM,7:55 PM
08-02-25 15:25:58,St Louis,MO,US,74.5,74.2,55,0,1026,8.05,70,10000,5:57 AM,7:55 PM
08-02-25 13:54:17,Tokyo,JP,28.5,34,83,0,1001,6.69,190,10000,4:52 AM,6:35 PM
08-02-25 13:54:17,Tokyo,JP,28.5,34,83,0,1001,6.69,190,10000,4:52 AM,6:35 PM
08-02-25 13:54:03,St Louis,MO,US,69.5,69.5,72,0,1026,8.84,45,10000,5:57 AM,7:55 PM
08-02-25 13:54:03,St Louis,MO,US,69.5,69.5,72,0,1026,8.84,45,10000,5:57 AM,7:55 PM
08-02-25 13:53:06,Salt Lake City,UT,US,72.5,70.9,32,0,1018,3,41,10000,6:32 AM,8:05 PM
08-02-25 13:53:06,Salt Lake City,UT,US,72.5,70.9,32,0,1018,3,41,10000,6:32 AM,8:05 PM
08-02-25 13:52:45,Salt Lake City,UT,US,72.5,70.9,32,0,1018,3,41,10000,6:32 AM,8:05 PM
08-02-25 13:52:45,Salt Lake City,UT,US,72.5,70.9,32,0,1018,3,41,10000,6:32 AM,8:05 PM
08-02-25 13:52:01,Knoxville,TN,US,72.7,73.6,83,0,1020,6.91,50,10000,6:44 AM,8:39 PM
08-02-25 13:52:01,Knoxville,TN,US,72.7,73.6,83,0,1020,6.91,50,10000,6:44 AM,8:39 PM
08-02-25 13:52:01,Knoxville,TN,US,72.7,73.6,83,0,1020,6.91,50,10000,6:44 AM,8:39 PM
08-02-25 13:52:01,Knoxville,TN,US,72.7,73.6,83,0,1020,6.91,50,10000,6:44 AM,8:39 PM
08-02-25 13:52:01,Knoxville,TN,US,72.7,73.6,83,0,1020,6.91,50,10000,6:44 AM,8:39 PM
08-02-25 13:52:00,Nashville,TN,US,71.5,71.7,72,0,1021,12.66,60,10000,5:55 AM,7:50 PM
08-02-25 13:52:00,Nashville,TN,US,71.5,71.7,72,0,1021,12.66,60,10000,5:55 AM,7:50 PM
08-02-25 13:51:54,Austin,TX,US,82.3,87.8,73,0,1020,1.01,178,10000,6:43 AM,8:02 PM
08-02-25 13:51:54,Austin,TX,US,82.3,87.8,73,0,1020,1.01,178,10000,6:43 AM,8:02 PM
08-02-25 13:51:54,Austin,TX,US,82.3,87.8,73,0,1020,1.01,178,10000,6:43 AM,8:02 PM
08-02-25 13:51:54,Austin,TX,US,82.3,87.8,73,0,1020,1.01,178,10000,6:43 AM,8:02 PM
08-02-25 13:51:33,Knoxville,TN,US,72.7,73.6,83,0,1020,6.91,50,10000,6:44 AM,8:39 PM
08-02-25 13:51:33,Knoxville,TN,US,72.7,73.6,83,0,1020,6.91,50,10000,6:44 AM,8:39 PM
08-02-25 13:51:33,Knoxville,TN,US,72.7,73.6,83,0,1020,6.91,50,10000,6:44 AM,8:39 PM
08-02-25 13:51:33,Knoxville,TN,US,72.7,73.6,83,0,1020,6.91,50,10000,6:44 AM,8:39 PM
08-02-25 13:51:33,Knoxville,TN,US,72.7,73.6,83,0,1020,6.91,50,10000,6:44 AM,8:39 PM
08-02-25 13:51:04,Nashville,TN,US,70.8,71,73,0,1021,10.36,20,10000,5:55 AM,7:50 PM
08-02-25 13:51:04,Nashville,TN,US,70.8,71,73,0,1021,10.36,20,10000,5:55 AM,7:50 PM
08-02-25 13:49:29,Tokyo,JP,28.5,34,83,0,1001,6.69,190,10000,4:52 AM,6:35 PM
08-02-25 13:49:29,Tokyo,JP,28.5,34,83,0,1001,6.69,190,10000,4:52 AM,6:35 PM
08-02-25 13:48:46,St Louis,MO,US,69.4,69.4,71,0,1026,1.01,297,10000,5:57 AM,7:55 PM
08-02-25 13:48:46,St Louis,MO,US,69.4,69.4,71,0,1026,1.01,297,10000,5:57 AM,7:55 PM
08-02-25 13:43:24,St Louis,MO,US,68.8,68.8,73,0,1026,1.01,297,10000,5:57 AM,7:55 PM
08-02-25 13:43:24,St Louis,MO,US,68.8,68.8,73,0,1026,1.01,297,10000,5:57 AM,7:55 PM
08-02-25 13:42:26,Austin,TX,US,81.9,87.2,74,0,1020,1.99,323,10000,6:43 AM,8:02 PM
